date,APPLE,IBM,MICROSOFT,SALESFORCE,VISA
2017-04-24,33.904781,121.684982,63.038235,84.169998,88.950638
2017-04-25,34.114849,121.412437,63.402267,84.75,89.202454
2017-04-26,33.914227,121.162651,63.318272,84.949997,88.921585
2017-04-27,33.940201,121.359489,63.729004,85.849998,88.708534
2017-04-28,33.907143,121.3368,63.906349,86.120003,88.340523
2017-05-01,34.598732,120.239182,64.793198,86.660004,88.379257
2017-05-02,34.81826,120.435959,64.690498,87.089996,89.618866
2017-05-03,34.712044,120.080185,64.48513,86.550003,89.522018
2017-05-04,34.586941,120.398132,64.233101,86.519997,89.696335
2017-05-05,35.160515,117.370186,64.410446,86.970001,89.183052
2017-05-08,36.116478,116.972702,64.354454,86.860001,89.018417
2017-05-09,36.347794,116.269485,64.447784,87.129997,89.095886
2017-05-10,36.175472,115.612122,64.699829,87.309998,89.338005
2017-05-11,36.48835,115.153488,63.906349,87.709999,89.192749
2017-05-12,36.997921,114.939468,63.831696,89.040001,89.802849
2017-05-15,36.903122,115.810852,63.878368,89.800003,90.287086
2017-05-16,36.84861,117.469559,65.164574,89.75,90.20961
2017-05-17,35.611389,115.367508,63.352608,87.839996,89.021156
2017-05-18,36.154152,115.252861,63.56855,87.75,88.972633
2017-05-19,36.277409,116.17012,63.549778,87.400002,89.719658
2017-05-22,36.497837,116.674599,64.26329,88.940002,90.524879
2017-05-23,36.452797,116.208321,64.47924,88.489998,91.058472
2017-05-24,36.343765,116.575256,64.563713,89.599998,91.980125
2017-05-25,36.469387,117.102638,65.361725,91.269997,92.203255
2017-05-26,36.407757,116.559959,65.680939,90.830002,91.844307
2017-05-30,36.421982,115.979012,66.103401,90.860001,91.892815
2017-05-31,36.206303,116.666962,65.568268,89.639999,92.387604
2017-06-01,36.305851,116.697533,65.812363,90.050003,92.552498
2017-06-02,36.843864,116.223625,67.370842,90.860001,93.280136
2017-06-05,36.483601,116.498772,67.859032,91.379997,93.668198
2017-06-06,36.606846,116.468224,68.084358,91.099998,92.93087
2017-06-07,36.824902,115.405754,67.962303,91.389999,93.221893
2017-06-08,36.734837,116.261848,67.54921,91.25,93.221893
2017-06-09,35.310383,117.790611,66.018906,87.269997,91.737587
2017-06-12,34.466606,118.616135,65.511948,86.18,90.709244
2017-06-13,34.743923,117.905251,66.328735,87.269997,92.242065
2017-06-14,34.404991,117.568901,65.971962,87.169998,92.474892
2017-06-15,34.198784,117.882332,65.624588,86.269997,91.359215
2017-06-16,33.72002,118.769012,65.718483,86,91.359215
2017-06-19,34.684666,118.356216,66.535263,87.540001,91.960724
2017-06-20,34.369442,118.440308,65.633972,86.919998,91.56295
2017-06-21,34.573273,117.553642,65.971962,87.559998,91.71817
2017-06-22,34.516388,118.019905,65.962578,88.470001,91.14579
2017-06-23,34.670437,117.798248,66.854454,88.620003,92.72715
2017-06-26,34.56142,118.654335,66.216064,88.110001,92.377884
2017-06-27,34.066063,118.287422,64.976799,87.68,92.067459
2017-06-28,34.563786,118.723137,65.530708,88.089996,93.35775
2017-06-29,34.054214,117.813522,64.300835,86.800003,91.601761
2017-06-30,34.134792,117.584213,64.713921,86.599998,90.980865
2017-07-03,34.011547,118.921883,64.000404,86.099998,90.563698
2017-07-05,34.151382,117.461922,64.854759,87.5,91.204002
2017-07-06,33.829044,116.460579,64.375931,86.849998,90.466698
2017-07-07,34.172707,116.903923,65.211502,87.919998,91.116692
2017-07-10,34.381283,117.270813,65.699707,88.5,92.25177
2017-07-11,34.492687,117.095024,65.709084,88.349998,92.562218
2017-07-12,34.542465,117.484833,66.798149,90.400002,93.309242
2017-07-13,35.02359,117.431328,67.380219,89.57,93.076401
2017-07-14,35.3246,117.897614,68.328453,90,94.036842
2017-07-17,35.447849,116.95742,68.863571,89.290001,93.939842
2017-07-18,35.571106,117.714165,68.816635,89.269997,94.667442
2017-07-19,35.793896,112.768631,69.342377,89.559998,95.317436
2017-07-20,35.632717,112.867996,69.680374,90.540001,95.18161
2017-07-21,35.616131,112.42466,69.27668,89.690002,96.627144
2017-07-24,36.047493,111.591515,69.098297,89.669998,97.374176
2017-07-25,36.201565,111.744392,69.652206,90.629997,97.005508
2017-07-26,36.372211,111.10994,69.520775,91.07,97.839828
2017-07-27,35.684872,110.888268,68.685226,90.510002,96.598053
2017-07-28,35.433628,110.292053,68.57254,90.620003,96.190582
2017-07-31,35.251118,110.58252,68.253326,90.800003,96.588348
2017-08-01,35.563988,111.064079,68.140678,91.220001,97.859261
2017-08-02,37.244423,110.414345,67.84024,89.889999,98.257019
2017-08-03,36.872307,110.788918,67.736961,90.349998,97.587601
2017-08-04,37.066666,110.957069,68.234558,90.449997,97.878639
2017-08-07,37.640232,109.665291,67.971672,90.5,98.460732
2017-08-08,37.94125,109.773415,68.337822,90.260002,98.257019
2017-08-09,38.173508,109.510765,68.037399,90.120003,97.956253
2017-08-10,36.957626,109.56485,67.042244,87.629997,96.520432
2017-08-11,37.471577,109.56485,68.065559,88.290001,97.102501
2017-08-14,38.035515,109.935638,69.08889,90.25,98.829407
2017-08-15,38.451912,109.7425,69.107758,90.699997,99.566711
2017-08-16,38.297241,110.074654,69.513634,92.239998,100.39753
2017-08-17,37.562,108.68425,68.333817,90.879997,99.270332
2017-08-18,37.476337,107.911797,68.418785,90.760002,99.610443
2017-08-21,37.407337,108.39846,68.097855,91.760002,100.300362
2017-08-22,38.018852,108.923706,69.05117,92.949997,101.126305
2017-08-23,38.066441,109.796555,68.635864,93.07,100.261482
2017-08-24,37.897503,110.414543,68.607552,94.150002,100.300362
2017-08-25,38.037891,111.032509,68.730247,94.099998,100.426682
2017-08-28,38.420982,110.082382,68.739693,93.660004,100.844521
2017-08-29,38.763622,110.569038,68.947327,93.830002,100.834793
2017-08-30,38.86832,110.12101,69.853401,94.860001,100.795929
2017-08-31,39.022976,110.484077,70.570717,95.489998,100.591866
2017-09-01,39.034874,111.295158,69.787346,96.010002,100.961128
2017-09-05,38.566124,110.491798,69.475876,96.18,100.096321
2017-09-06,38.525677,111.094292,69.277672,95.82,100.261482
2017-09-07,38.37101,110.383644,70.164894,96.730003,101.602455
2017-09-08,37.745216,110.036034,69.825073,96.43,101.476128
2017-09-11,38.42812,111.897629,70.561302,97.709999,103.147476
2017-09-12,38.275841,112.592834,70.485779,96.849998,103.20578
2017-09-13,37.987911,112.770546,70.986015,95.610001,102.83654
2017-09-14,37.661934,112.422905,70.570717,95.300003,103.079475
2017-09-15,38.042648,111.866753,71.080406,94.629997,102.321533
2017-09-18,37.754726,111.658188,70.93882,95.739998,101.864807
2017-09-19,37.769009,111.534592,71.203094,95.349998,102.428421
2017-09-20,37.136078,112.685562,70.731194,95.209999,102.000862
2017-09-21,36.498386,112.206612,70.042183,94.860001,102.331238
2017-09-22,36.14146,112.106201,70.230949,94.940002,102.574158
2017-09-25,35.822628,112.677811,69.145523,92.470001,100.106003
2017-09-26,36.4389,113.210823,69.145523,92.339996,100.028282
2017-09-27,36.698261,112.515617,69.702423,93.209999,100.951416
2017-09-28,36.472202,112.515617,69.721275,92.599998,101.621902
2017-09-29,36.672077,112.067589,70.30645,93.419998,102.263229
2017-10-02,36.598324,113.288063,70.419708,93.940002,102.457565
2017-10-03,36.75774,113.380753,70.089371,95.360001,102.603317
2017-10-04,36.519794,113.149025,70.495216,95.519997,102.331238
2017-10-05,36.974277,113.334404,71.703331,95.730003,103.234917
2017-10-06,36.952862,113.149025,71.731644,96.32,103.711082
2017-10-09,37.081352,113.851952,72.005356,96.269997,103.983154
2017-10-10,37.095619,114.709389,72.005356,95.389999,104.274658
2017-10-11,37.25029,114.02961,72.128059,96.010002,105.372704
2017-10-12,37.119415,113.573875,72.788727,96.739998,105.052048
2017-10-13,37.354988,113.627953,73.137947,96.940002,105.586502
2017-10-16,38.042648,113.419373,73.288986,97.150002,105.236671
2017-10-17,38.183041,113.195374,73.232353,96.720001,104.498177
2017-10-18,38.014088,123.229568,73.251228,96.440002,104.750824
2017-10-19,37.114666,124.287811,73.53437,97.190002,103.992867
2017-10-20,37.178902,125.191605,74.383812,98.900002,104.507874
2017-10-23,37.159882,123.245003,74.402718,98.440002,104.488434
2017-10-24,37.381157,120.41011,74.431038,98.660004,105.343559
2017-10-25,37.216976,118.57164,74.213928,99.589996,106.39299
2017-10-26,37.454926,118.64888,74.336624,100.050003,106.694244
2017-10-27,38.796925,118.710701,79.10302,100.699997,106.606773
2017-10-30,39.670193,119.235954,79.178497,100.699997,106.92746
2017-10-31,40.222221,119.004234,78.508415,102.339996,106.869141
2017-11-01,39.710636,118.981041,78.508415,101.949997,107.928299
2017-11-02,40.000942,118.455788,79.329544,102.599998,107.840881
2017-11-03,41.045506,117.088554,79.41449,102.709999,108.210106
2017-11-06,41.461926,116.516914,79.72596,102.419998,108.754272
2017-11-07,41.595169,116.910889,79.53717,102.720001,108.919456
2017-11-08,41.935432,117.080826,79.810883,105.029999,109.288727
2017-11-09,41.849766,117.2603,79.367271,103.599998,108.968056
2017-11-10,41.711262,116.370834,79.159653,105.239998,108.715393
2017-11-13,41.544102,115.777916,79.216293,105.779999,108.248993
2017-11-14,40.916058,116.160202,79.329544,106.230003,108.812576
2017-11-15,40.376373,114.76371,78.712959,105.43,107.1315
2017-11-16,40.858749,116.339668,78.921661,107.029999,108.070862
2017-11-17,40.631889,116.222626,78.162796,107.580002,106.902756
2017-11-20,40.591293,117.424088,78.286087,107.370003,107.029297
2017-11-21,41.345894,118.547539,79.414925,108.800003,108.489433
2017-11-22,41.780514,118.407104,78.836288,106.830002,107.876183
2017-11-24,41.782902,118.461716,78.978569,107.150002,108.995644
2017-11-27,41.572754,118.570953,79.55719,106.580002,109.394737
2017-11-28,41.329193,118.953247,80.515251,106.459999,110.348732
2017-11-29,40.471886,119.795815,79.054451,103.529999,106.941689
2017-11-30,41.037846,120.123505,79.841759,104.32,109.599174
2017-12-01,40.846809,120.739838,79.927147,103.830002,107.788589
2017-12-04,40.548309,122.066132,76.910652,99.849998,104.576233
2017-12-05,40.510109,121.200134,77.394447,100.690002,105.695694
2017-12-06,40.359642,120.224945,78.523239,102.919998,106.824875
2017-12-07,40.433689,119.811401,78.248161,104.07,108.440773
2017-12-08,40.445621,120.778854,79.832291,103.440002,109.608917
2017-12-11,41.233662,121.246918,80.847267,104.540001,109.385017
2017-12-12,41.002026,122.284569,81.179253,103.669998,110.44606
2017-12-13,41.138142,120.076691,80.961098,103.940002,110.300034
2017-12-14,41.126202,120.146904,80.335022,104.239998,109.920403
2017-12-15,41.544102,118.976639,82.383957,105.480003,110.796494
2017-12-18,42.129166,119.624176,81.938118,105.080002,110.533669
2017-12-19,41.680218,119.546196,81.416412,104.260002,109.161125
2017-12-20,41.634846,119.327736,81.122337,103.389999,109.141655
2017-12-21,41.792454,118.196457,81.103386,103.620003,109.42395
2017-12-22,41.792454,118.976639,81.112854,102.629997,109.696518
2017-12-26,40.732182,119.234123,81.008507,102.540001,109.988518
2017-12-27,40.739353,119.468117,81.302574,102.650002,110.991173
2017-12-28,40.853973,120.178116,81.312065,102.790001,111.312431
2017-12-29,40.412186,119.694389,81.141327,102.230003,110.991173
2018-01-02,41.135754,120.341919,81.530235,104.410004,111.468163
2018-01-03,41.12859,123.649879,81.90966,105.290001,112.577881
2018-01-04,41.319626,126.154243,82.630585,106.68,112.996468
2018-01-05,41.790062,126.770576,83.65506,108.099998,115.702606
2018-01-08,41.634846,127.535172,83.740425,108.860001,116.169853
2018-01-09,41.630066,127.81601,83.683502,109.150002,115.945984
2018-01-10,41.620522,128.089111,83.304077,108.800003,115.819435
2018-01-11,41.856926,128.104691,83.550697,109.099998,116.656578
2018-01-12,42.289169,127.277725,84.992554,110.239998,116.899925
2018-01-16,42.074238,127.83165,83.806824,108.889999,117.191994
2018-01-17,42.76915,131.576447,85.504791,110.040001,118.739716
2018-01-18,42.807358,131.94313,85.466812,111.769997,119.839722
2018-01-19,42.616322,126.676949,85.371971,111.93,119.440605
2018-01-22,42.26767,126.856392,86.899185,112.889999,121.027313
2018-01-23,42.277214,129.704041,87.174278,113.239998,121.338814
2018-01-24,41.603802,129.017471,87.098389,112.849998,121.241463
2018-01-25,40.861134,129.095474,87.582161,111.959999,121.893661
2018-01-26,40.956654,130.554443,89.223206,113.699997,122.964439
2018-01-29,40.108902,130.133133,89.090401,113.300003,121.523758
2018-01-30,39.87249,127.652176,87.971085,112.230003,120.268028
2018-01-31,39.982349,127.7146,90.124352,113.910004,120.92997
2018-02-01,40.065933,126.700378,89.412926,112.739998,122.380394
2018-02-02,38.327465,124.07119,87.06044,110.779999,117.698143
2018-02-05,37.369881,119.000038,83.474831,107.650002,113.181412
2018-02-06,38.931637,121.19236,86.633591,109.57,116.783134
2018-02-07,38.098213,120.029877,85.002014,110.050003,116.471649
2018-02-08,37.049877,116.279678,80.63858,104.029999,110.835434
2018-02-09,37.503052,117.792366,83.645569,106.980003,113.23008
2018-02-12,39.01363,119.281425,84.546707,108.550003,115.322983
2018-02-13,39.404457,118.769287,85.210724,107.690002,115.206161
2018-02-14,40.130966,121.928596,86.544968,109.019997,117.620285
2018-02-15,41.478512,122.913429,88.308075,113.120003,119.238991
2018-02-16,41.344231,123.047348,87.67907,112.860001,118.819695
2018-02-20,41.20517,122.243744,88.36525,114.349998,118.975716
2018-02-21,41.018147,121.298317,87.193016,114.480003,117.43502
2018-02-22,41.361015,120.683792,87.421761,113,117.386238
2018-02-23,42.080334,122.527382,89.642334,114.959999,119.872826
2018-02-26,42.912357,124.93824,90.938454,116.650002,121.491547
2018-02-27,42.773281,123.33889,89.775742,116.470001,120.301895
2018-02-28,42.708542,122.771614,89.365936,116.25,119.882584
2018-03-01,41.960449,121.180145,88.489151,119.43,117.405762
2018-03-02,42.250576,121.715874,88.679764,121.919998,117.766541
2018-03-05,42.396839,123.654037,89.242035,122.5,118.848946
2018-03-06,42.36087,122.684921,88.937073,124.480003,118.049324
2018-03-07,41.967644,124.733368,89.451729,125.330002,118.819695
2018-03-08,42.42561,123.071007,89.994926,126.360001,119.180481
2018-03-09,43.154522,125.513367,92.005859,127.410004,121.413544
2018-03-12,43.571724,126.261841,92.225044,126.779999,121.150238
2018-03-13,43.152126,125.521233,89.975891,126.730003,120.136093
2018-03-14,42.785278,124.575829,89.442177,127.989998,119.531548
2018-03-15,42.835621,125.749702,89.756691,127.220001,120.340889
2018-03-16,42.68457,126.261841,90.156967,125.970001,121.433037
2018-03-19,42.032387,123.969147,88.527252,124.980003,120.145874
2018-03-20,42.017998,123.063118,88.755997,125.120003,121.803596
2018-03-21,41.06609,123.449188,88.136528,121.699997,120.155624
2018-03-22,40.485847,119.825043,85.572884,118.040001,117.005951
2018-03-23,39.548325,117.303879,83.085449,114.43,114.090309
2018-03-26,41.425762,120.833504,89.375465,118.970001,117.639778
2018-03-27,40.363552,119.683228,85.267899,113.809998,114.48037
2018-03-28,39.91758,120.163811,85.191643,112.879997,114.080559
2018-03-29,40.22929,120.880753,86.98336,116.300003,116.645134
2018-04-02,39.965534,118.233559,84.362518,115.300003,115.44574
2018-04-03,40.375542,118.060242,85.49662,116.489998,116.23558
2018-04-04,41.147621,121.424355,87.993576,119.480003,116.830421
2018-04-05,41.432949,121.353447,88.041229,119.040001,118.176102
2018-04-06,40.37315,118.627495,85.99221,116.099998,114.772896
2018-04-09,40.773579,120.297745,86.506828,117.190002,115.835793
2018-04-10,41.540844,122.42495,88.517738,119.489998,117.717789
2018-04-11,41.34663,122.40136,87.545647,119.160004,116.801178
2018-04-12,41.754242,124.536385,89.18486,121.400002,118.059074
2018-04-13,41.895721,123.464951,88.708344,119.010002,117.747063
2018-04-16,42.157066,124.394615,89.747147,119.410004,118.848946
2018-04-17,42.737328,126.773926,91.557915,123.349998,120.721199
2018-04-18,42.641415,117.225121,91.910538,124.459999,121.38427
2018-04-19,41.432949,116.366348,91.596039,124.059998,120.877228
2018-04-20,39.735348,114.160355,90.538177,122.82,121.111237
2018-04-23,39.620266,114.916695,90.871735,121.889999,121.364769
2018-04-24,39.068775,114.680336,88.746468,117.879997,118.25412
2018-04-25,39.23901,114.979729,87.97451,117.32,118.195602
2018-04-26,39.37569,115.594238,89.832932,120.830002,123.919617
2018-04-27,38.920124,115.405151,91.319649,120.220001,122.876221
2018-04-30,39.625046,114.207611,89.127678,120.989998,123.724617
2018-05-01,40.545784,114.239151,90.538177,123.110001,124.338928
2018-05-02,42.336903,112.230095,89.118156,122.82,123.237038
2018-05-03,42.413624,111.867676,89.651863,124.410004,124.017136
2018-05-04,44.077644,113.380386,90.690689,125.120003,124.972755
2018-05-07,44.396568,112.836731,91.700867,126.970001,126.045425
2018-05-08,44.609962,112.663437,91.310127,128.75,126.669502
2018-05-09,44.924057,113.603401,92.387062,129.729996,127.586098
2018-05-10,45.56665,114.901863,93.311493,130.619995,127.742142
2018-05-11,45.393349,114.822205,93.111374,130.630005,128.541748
2018-05-14,45.287437,114.949692,93.42585,127.690002,127.946922
2018-05-15,44.875851,114.503571,92.749214,128.130005,127.839668
2018-05-16,45.294662,115.212547,92.988503,128.770004,127.63488
2018-05-17,45.008232,115.108986,92.060059,126.050003,126.902351
2018-05-18,44.844551,114.774429,92.232353,126.959999,126.902351
2018-05-21,45.162281,115.897621,93.419235,126.370003,127.615364
2018-05-22,45.049156,115.578979,93.323517,125.440002,127.664177
2018-05-23,45.33799,115.244423,94.43383,128.089996,128.806915
2018-05-24,45.287437,114.766449,94.098816,128.740005,128.816696
2018-05-25,45.390942,114.423904,94.146667,127.959999,128.220871
2018-05-29,45.227264,112.49614,93.811661,126.879997,126.667938
2018-05-30,45.130985,113.611374,94.711403,129.300003,127.59581
2018-05-31,44.979347,112.567818,94.60611,129.330002,127.673943
2018-06-01,45.790504,113.07766,96.472595,130.520004,127.800911
2018-06-04,46.173218,113.945946,97.31488,132.649994,129.969208
2018-06-05,46.529453,114.47171,97.812622,134.119995,130.447739
2018-06-06,46.690716,115.276268,98.099747,135.550003,133.104355
2018-06-07,46.56554,115.79406,96.558716,132.910004,130.721252
2018-06-08,46.141918,116.415405,97.276588,133.529999,131.600266
2018-06-11,46.028793,116.76593,96.721443,133.979996,130.789612
2018-06-12,46.281521,116.996925,96.970299,136.259995,131.717453
2018-06-13,45.901222,116.582672,96.530006,136.5,131.268173
2018-06-14,45.925301,115.666603,97.0756,138.410004,131.854187
2018-06-15,45.453522,115.817924,95.840858,138.410004,131.951889
2018-06-18,45.429443,115.093048,96.539574,139.800003,133.02623
2018-06-19,44.695324,114.631012,96.539574,139.520004,131.961639
2018-06-20,44.890293,113.619331,97.506317,138.940002,132.342575
2018-06-21,44.639965,112.520027,96.807587,137.880005,131.395142
2018-06-22,44.509987,112.543922,96.108864,135.009995,132.176544
2018-06-25,43.848061,110.560387,94.175377,133.190002,127.879028
2018-06-26,44.39204,110.791405,94.835838,135.479996,129.461304
2018-06-27,44.327053,109.516846,93.361794,133.220001,127.966942
2018-06-28,44.649593,111.556137,94.405098,135.119995,129.646881
2018-06-29,44.555717,111.285301,94.385963,136.399994,129.363647
2018-07-02,45.053955,111.412743,95.726006,140.429993,129.412476
2018-07-03,44.269291,111.181732,94.807129,137.839996,128.386902
2018-07-05,44.625515,112.663414,95.48671,139.770004,130.184021
2018-07-06,45.244114,113.499847,96.826736,141.399994,130.965393
2018-07-09,45.872341,115.021362,97.48719,141.759995,132.362122
2018-07-10,45.816982,115.276268,97.745613,142.449997,133.504837
2018-07-11,45.22245,115.459496,97.611603,145.25,134.930786
2018-07-12,45.980648,116.662376,99.726944,148.160004,136.64003
2018-07-13,46.05286,116.224228,100.913811,147.610001,136.171158
2018-07-16,45.951771,115.873741,100.4161,146.960007,135.233597
2018-07-17,46.081745,114.304428,101.411545,147.020004,136.386063
2018-07-18,45.82901,115.124901,100.617096,147.839996,137.61673
2018-07-19,46.185246,118.884872,99.927948,147.160004,136.864685
2018-07-20,46.079342,116.582672,101.717834,146.869995,137.70462
2018-07-23,46.120266,116.064934,103.345024,147.559998,136.767029
2018-07-24,46.45483,116.606606,103.048294,146,136.767029
2018-07-25,46.892902,116.797806,106.08252,148.869995,139.316193
2018-07-26,46.746078,116.869476,104.924339,147.570007,139.179428
2018-07-27,45.968624,115.626762,103.067444,143.910004,137.431137
2018-07-30,45.711071,115.897621,100.856392,138.029999,133.299759
2018-07-31,45.802532,115.451515,101.535988,137.149994,133.553665
2018-08-01,48.500778,114.312378,101.727425,137.679993,135.028473
